,Year,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,Unnamed: 0
37,2016,Brownsville,Discount Store,Pizza Place,Supermarket,Fried Chicken Joint,Mobile Phone Shop,Sandwich Place,Donut Shop,Pharmacy,Shoe Store,Caribbean Restaurant,Fast Food Restaurant,Spanish Restaurant,Gas Station,Cosmetics Shop,Fish Market,Plaza,Seafood Restaurant,Chinese Restaurant,Grocery Store,Gym,
38,2016,Bulls Head,Baseball Field,Pizza Place,Chinese Restaurant,Sandwich Place,Deli / Bodega,Pharmacy,Italian Restaurant,Scenic Lookout,Diner,Tex-Mex Restaurant,Bank,Baseball Stadium,Coffee Shop,Mattress Store,Park,Thai Restaurant,Tattoo Parlor,Liquor Store,Gift Shop,Smoke Shop,
39,2016,Bushwick,Bar,Coffee Shop,Mexican Restaurant,Cocktail Bar,Pizza Place,Deli / Bodega,Grocery Store,Music Venue,Latin American Restaurant,Dive Bar,Record Shop,Pet Store,Italian Restaurant,Taco Place,Yoga Studio,Wine Shop,Bagel Shop,Theater,Comfort Food Restaurant,Cuban Restaurant,
40,2016,Butler Manor,Pool,Baseball Field,State / Provincial Park,Grocery Store,Convenience Store,Deli / Bodega,Factory,Falafel Restaurant,Farm,Fish & Chips Shop,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Eye Doctor,Film Studio,Zoo Exhibit,Flea Market,Fish Market,Event Space,
41,2016,Cambria Heights,Caribbean Restaurant,Pharmacy,Cosmetics Shop,Donut Shop,Bus Station,Fast Food Restaurant,Bus Stop,Moving Target,Gas Station,Nightclub,Fried Chicken Joint,Supermarket,Storage Facility,Juice Bar,Liquor Store,Park,Chinese Restaurant,Pizza Place,Playground,Dry Cleaner,
42,2016,Canarsie,Caribbean Restaurant,Pizza Place,Bank,Video Game Store,Grocery Store,Pharmacy,Food,Fast Food Restaurant,Gym,Gym / Fitness Center,Mobile Phone Shop,Chinese Restaurant,Bakery,Bagel Shop,Shop & Service,Fried Chicken Joint,Diner,Donut Shop,Deli / Bodega,Ice Cream Shop,
43,2016,Carnegie Hill,Coffee Shop,Café,Bakery,Gym / Fitness Center,Yoga Studio,Pizza Place,Gym,Art Museum,Bar,Cocktail Bar,Bookstore,Wine Shop,Italian Restaurant,Juice Bar,American Restaurant,Grocery Store,Indian Restaurant,Salon / Barbershop,French Restaurant,Japanese Restaurant,
44,2016,Carroll Gardens,Coffee Shop,Italian Restaurant,Bakery,Bar,Pizza Place,Ice Cream Shop,Cocktail Bar,Yoga Studio,Spa,Wine Shop,Food & Drink Shop,Gift Shop,Thai Restaurant,Wine Bar,Gym / Fitness Center,Record Shop,Sports Bar,Music Venue,French Restaurant,Gaming Cafe,
45,2016,Castle Hill,Bus Stop,Diner,Supermarket,Baseball Field,Mobile Phone Shop,Pharmacy,Automotive Shop,Trail,Market,Bank,Motel,Bus Station,Other Nightlife,Gym / Fitness Center,Grocery Store,Mexican Restaurant,Clothing Store,Shopping Mall,Park,Miscellaneous Shop,
46,2016,Castleton Corners,Pizza Place,Donut Shop,Liquor Store,Chinese Restaurant,Bank,Pharmacy,Sandwich Place,Ice Cream Shop,Bagel Shop,Italian Restaurant,Diner,Deli / Bodega,Sushi Restaurant,Beer Garden,Bakery,Bar,Optical Shop,Mexican Restaurant,Mini Golf,Dessert Shop,
47,2016,Central Harlem,Southern / Soul Food Restaurant,Café,African Restaurant,American Restaurant,French Restaurant,Bar,Seafood Restaurant,Cocktail Bar,Pizza Place,Lounge,Sushi Restaurant,Theater,Gym,Wine Shop,Yoga Studio,Caribbean Restaurant,Indian Restaurant,Mexican Restaurant,Boutique,Arts & Crafts Store,
48,2016,Charleston,Italian Restaurant,Cosmetics Shop,Bakery,Pizza Place,Coffee Shop,Gym / Fitness Center,American Restaurant,Big Box Store,Recreation Center,Diner,Grocery Store,Café,Toll Plaza,Gift Shop,German Restaurant,Breakfast Spot,Supplement Shop,Music Venue,Burger Joint,Sporting Goods Shop,
49,2016,Chelsea,Art Gallery,Coffee Shop,Park,Bakery,Hotel,Gym,Baseball Field,Bar,Gym / Fitness Center,Café,Italian Restaurant,Bagel Shop,American Restaurant,Deli / Bodega,Market,Clothing Store,New American Restaurant,Roof Deck,Ice Cream Shop,Recreation Center,
50,2016,Chinatown,Ice Cream Shop,Chinese Restaurant,Bakery,Sandwich Place,Coffee Shop,Cocktail Bar,Wine Bar,Café,Salon / Barbershop,Mexican Restaurant,Vegetarian / Vegan Restaurant,Bar,Pizza Place,French Restaurant,Shoe Store,Spa,Hotel,Hotpot Restaurant,Thai Restaurant,Cosmetics Shop,
51,2016,City Island,Seafood Restaurant,Harbor / Marina,Italian Restaurant,Boat or Ferry,American Restaurant,Grocery Store,Thrift / Vintage Store,Bar,Deli / Bodega,Park,Baseball Field,Bank,Pizza Place,Chinese Restaurant,Pharmacy,Japanese Restaurant,History Museum,Tapas Restaurant,Jewelry Store,Music Venue,
52,2016,City Line,Pizza Place,Donut Shop,Fast Food Restaurant,Chinese Restaurant,Supermarket,Grocery Store,Latin American Restaurant,Ice Cream Shop,Shoe Store,Fried Chicken Joint,Park,Bank,South American Restaurant,Burger Joint,Pharmacy,Liquor Store,Sandwich Place,Seafood Restaurant,Gas Station,Clothing Store,
53,2016,Civic Center,Coffee Shop,Hotel,Cocktail Bar,American Restaurant,Spa,Gym / Fitness Center,Italian Restaurant,Men's Store,Burger Joint,Bakery,Café,Jewelry Store,French Restaurant,Chinese Restaurant,Park,Gym,Cosmetics Shop,Playground,Ice Cream Shop,Furniture / Home Store,
54,2016,Claremont Village,Discount Store,Donut Shop,Grocery Store,Pizza Place,Ice Cream Shop,Fast Food Restaurant,Gym,Deli / Bodega,Caribbean Restaurant,Park,Farmers Market,Farm,Fish & Chips Shop,Falafel Restaurant,Field,Factory,Filipino Restaurant,Film Studio,Zoo Exhibit,Fish Market,
55,2016,Clason Point,Pool,Discount Store,South American Restaurant,Grocery Store,Bus Stop,Gym / Fitness Center,Park,Convenience Store,Filipino Restaurant,Field,Zoo Exhibit,Fast Food Restaurant,Farm,Falafel Restaurant,Factory,Eye Doctor,Farmers Market,Fish & Chips Shop,Film Studio,Event Space,
56,2016,Clifton,Sandwich Place,Pizza Place,Mexican Restaurant,Grocery Store,Beach,Pharmacy,Bar,Intersection,Italian Restaurant,Discount Store,Gym,Sri Lankan Restaurant,Miscellaneous Shop,Gastropub,Breakfast Spot,Supermarket,Department Store,Nail Salon,Storage Facility,Restaurant,
57,2016,Clinton,Hotel,Wine Shop,Theater,Gym / Fitness Center,Coffee Shop,American Restaurant,Italian Restaurant,Gym,Burger Joint,Bakery,Cocktail Bar,Gift Shop,Ethiopian Restaurant,Park,Peruvian Restaurant,Furniture / Home Store,Bar,Thai Restaurant,Indie Theater,Sandwich Place,
58,2016,Clinton Hill,Italian Restaurant,Pizza Place,Coffee Shop,Wine Shop,Thai Restaurant,Playground,Yoga Studio,Japanese Restaurant,Cocktail Bar,Mexican Restaurant,Restaurant,Park,Bagel Shop,Café,French Restaurant,Diner,Gourmet Shop,Indian Restaurant,History Museum,Vietnamese Restaurant,
59,2016,Co-op City,Pizza Place,Department Store,Mobile Phone Shop,Shopping Mall,Pharmacy,Bus Station,Donut Shop,Bakery,Clothing Store,Fast Food Restaurant,Chinese Restaurant,Mattress Store,Kids Store,Furniture / Home Store,Music Venue,Caribbean Restaurant,Accessories Store,Discount Store,Mexican Restaurant,Deli / Bodega,
60,2016,Cobble Hill,Coffee Shop,Italian Restaurant,Cocktail Bar,Bar,Bakery,Pizza Place,Yoga Studio,Wine Shop,Bookstore,Restaurant,Middle Eastern Restaurant,Gift Shop,Gourmet Shop,Men's Store,Bagel Shop,Grocery Store,Optical Shop,Seafood Restaurant,American Restaurant,Playground,
61,2016,College Point,Pizza Place,Department Store,Deli / Bodega,Donut Shop,Discount Store,Gym,Bank,Karaoke Bar,Supermarket,Chinese Restaurant,Coffee Shop,Park,Latin American Restaurant,Pharmacy,Convenience Store,Bakery,Diner,Café,Big Box Store,Mexican Restaurant,
62,2016,Concord,Bus Stop,Italian Restaurant,Grocery Store,Bakery,Deli / Bodega,Pizza Place,Pharmacy,Hardware Store,Indian Restaurant,Japanese Restaurant,Bank,Tattoo Parlor,Jewelry Store,Spanish Restaurant,Coffee Shop,Salon / Barbershop,Donut Shop,Gym / Fitness Center,Playground,Ice Cream Shop,
63,2016,Concourse,Grocery Store,Pharmacy,Fast Food Restaurant,Chinese Restaurant,Park,Deli / Bodega,Donut Shop,Pizza Place,Gym,Bus Station,Fried Chicken Joint,Ice Cream Shop,Discount Store,Diner,Mexican Restaurant,Bar,Mobile Phone Shop,Supermarket,Restaurant,Caribbean Restaurant,
64,2016,Concourse Village,Sandwich Place,Pizza Place,Deli / Bodega,Donut Shop,Grocery Store,Mexican Restaurant,Fast Food Restaurant,Park,Mobile Phone Shop,Pharmacy,Diner,Gym,Art Gallery,Supermarket,Sports Bar,Spanish Restaurant,Kids Store,Smoke Shop,Ice Cream Shop,Caribbean Restaurant,
65,2016,Coney Island,Theme Park Ride / Attraction,Theme Park,Beach,Hot Dog Joint,Deli / Bodega,Pizza Place,Bus Station,Arcade,Liquor Store,Supermarket,Bar,Baseball Stadium,Fried Chicken Joint,Caribbean Restaurant,Chinese Restaurant,Ice Cream Shop,Park,Pharmacy,Gift Shop,Go Kart Track,
66,2016,Corona,Food Truck,Pizza Place,Mexican Restaurant,Italian Restaurant,Science Museum,Argentinian Restaurant,Park,Restaurant,South American Restaurant,Deli / Bodega,Donut Shop,Pharmacy,Ice Cream Shop,Convenience Store,Candy Store,Latin American Restaurant,Bus Station,Museum,Basketball Court,Liquor Store,
67,2016,Country Club,Sandwich Place,Italian Restaurant,Bakery,Bank,Pizza Place,Dive Bar,Donut Shop,Pharmacy,Diner,Deli / Bodega,Mexican Restaurant,Fast Food Restaurant,Track,Bar,Harbor / Marina,Bus Station,Beach,Thai Restaurant,Metro Station,Mobile Phone Shop,
68,2016,Crown Heights,Café,Caribbean Restaurant,Southern / Soul Food Restaurant,Pizza Place,Coffee Shop,Deli / Bodega,Bagel Shop,Bar,Cocktail Bar,Bakery,Grocery Store,Japanese Restaurant,Playground,Museum,Fried Chicken Joint,Lounge,Supermarket,Sushi Restaurant,Juice Bar,Convenience Store,
69,2016,Cypress Hills,Latin American Restaurant,Fast Food Restaurant,Grocery Store,Donut Shop,Shoe Store,Ice Cream Shop,Sandwich Place,Discount Store,Pizza Place,Chinese Restaurant,Mobile Phone Shop,Gym,Metro Station,Gym / Fitness Center,Big Box Store,Ski Area,Tennis Court,Bank,Seafood Restaurant,South American Restaurant,
70,2016,Ditmas Park,Caribbean Restaurant,Mexican Restaurant,Pizza Place,Grocery Store,Bar,Coffee Shop,Indian Restaurant,Mobile Phone Shop,Thai Restaurant,Lounge,Bank,Gym,Latin American Restaurant,Wine Shop,Discount Store,Burger Joint,Health Food Store,Sandwich Place,Clothing Store,Chinese Restaurant,
71,2016,Dongan Hills,Italian Restaurant,Pizza Place,Bank,Deli / Bodega,Ice Cream Shop,Sushi Restaurant,Bus Stop,Train Station,Bagel Shop,Sandwich Place,Flower Shop,Fast Food Restaurant,Donut Shop,Diner,Coffee Shop,Greek Restaurant,Mexican Restaurant,Japanese Restaurant,Bar,Mattress Store,
72,2016,Douglaston,Italian Restaurant,Chinese Restaurant,Deli / Bodega,Bank,Spa,Train Station,Coffee Shop,Greek Restaurant,Japanese Restaurant,Bakery,Frozen Yogurt Shop,Park,Food,Sports Bar,Lounge,Sandwich Place,Fast Food Restaurant,Martial Arts Dojo,Farmers Market,Bubble Tea Shop,
73,2016,Downtown,Coffee Shop,French Restaurant,Grocery Store,Bakery,Burger Joint,Gym / Fitness Center,Bar,Sandwich Place,Opera House,Sushi Restaurant,Cocktail Bar,Japanese Restaurant,Furniture / Home Store,Bagel Shop,Gym,Ice Cream Shop,Performing Arts Venue,Wine Shop,Theater,Pizza Place,
74,2016,Dumbo,Park,Coffee Shop,Scenic Lookout,American Restaurant,Bar,Ice Cream Shop,Bakery,Art Gallery,Other Great Outdoors,Roof Deck,Boat or Ferry,Bookstore,Boxing Gym,Gym,Bridge,Italian Restaurant,Pizza Place,Yoga Studio,Café,Bistro,
75,2016,Dyker Heights,Bagel Shop,Cosmetics Shop,Pizza Place,Chinese Restaurant,Gym / Fitness Center,Sandwich Place,American Restaurant,Italian Restaurant,Bar,Bakery,Department Store,Deli / Bodega,Pub,Donut Shop,Middle Eastern Restaurant,Mexican Restaurant,Diner,Japanese Restaurant,Spanish Restaurant,Mobile Phone Shop,
76,2016,East Elmhurst,Airport Service,Pizza Place,Café,Rental Car Location,Hotel,Latin American Restaurant,Bakery,Donut Shop,Coffee Shop,Gas Station,Airport Lounge,Hotel Bar,Spanish Restaurant,Ice Cream Shop,Deli / Bodega,Fast Food Restaurant,Seafood Restaurant,Gourmet Shop,Bistro,Mexican Restaurant,
77,2016,East Flatbush,Discount Store,Caribbean Restaurant,Supermarket,Lounge,Music Venue,Performing Arts Venue,Grocery Store,Check Cashing Service,Pharmacy,Bakery,Park,Fast Food Restaurant,Liquor Store,Sandwich Place,Gym,Cosmetics Shop,Storage Facility,Convenience Store,Nightclub,Business Service,
78,2016,East Harlem,Café,Mexican Restaurant,Pizza Place,Bakery,Plaza,Cocktail Bar,Deli / Bodega,Gym,Coffee Shop,Italian Restaurant,Thai Restaurant,Latin American Restaurant,Fountain,Park,Chinese Restaurant,Art Museum,Taco Place,Moroccan Restaurant,Spanish Restaurant,Spa,
79,2016,East New York,Chinese Restaurant,Pizza Place,Supermarket,Metro Station,Pharmacy,Playground,Video Game Store,Fried Chicken Joint,Food Truck,Park,Caribbean Restaurant,Grocery Store,Market,Plaza,Art Gallery,Sandwich Place,Bakery,Discount Store,Donut Shop,Yoga Studio,
80,2016,East Tremont,Pizza Place,Donut Shop,Fast Food Restaurant,Park,Bank,Sandwich Place,Zoo Exhibit,Discount Store,Fried Chicken Joint,Lounge,Mobile Phone Shop,Supermarket,Breakfast Spot,Grocery Store,Zoo,Shoe Store,Shopping Mall,Garden,Theme Park Ride / Attraction,Theme Park,
81,2016,East Village,Cocktail Bar,Pizza Place,Bar,Coffee Shop,Vegetarian / Vegan Restaurant,Ice Cream Shop,Wine Bar,Dessert Shop,Korean Restaurant,Greek Restaurant,Bakery,Bagel Shop,Sake Bar,Asian Restaurant,Garden,Juice Bar,Vietnamese Restaurant,Café,Japanese Restaurant,Italian Restaurant,
82,2016,East Williamsburg,Coffee Shop,Bar,Bakery,Cocktail Bar,Deli / Bodega,Thrift / Vintage Store,Italian Restaurant,Café,Vegetarian / Vegan Restaurant,Concert Hall,Sandwich Place,Thai Restaurant,Mexican Restaurant,Gay Bar,New American Restaurant,Brewery,Pizza Place,Japanese Restaurant,Performing Arts Venue,Fried Chicken Joint,
83,2016,Eastchester,Caribbean Restaurant,Diner,Fast Food Restaurant,Shopping Mall,Deli / Bodega,Grocery Store,Supplement Shop,Asian Restaurant,Bakery,Gas Station,Mobile Phone Shop,Sandwich Place,Pharmacy,Donut Shop,Discount Store,Burger Joint,Supermarket,Gym,Bowling Alley,Gym / Fitness Center,
